City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,punta arenas,64,CL,05/02/2018,93,-53.16,-70.91,43.86,4.94
1,atuona,64,PF,05/02/2018,100,-9.8,-139.03,78.06,12.21
2,bluff,0,AU,05/02/2018,93,-23.58,149.07,60.15,4.5
3,busselton,80,AU,05/02/2018,100,-33.64,115.35,62.4,17.02
4,tiksi,56,RU,05/02/2018,85,71.64,128.87,17.94,5.17
5,la mana,80,EC,05/02/2018,100,-0.93,-79.22,67.17,3.38
6,ushuaia,0,AR,05/02/2018,88,-54.81,-68.31,37.29,4.61
7,huarmey,0,PE,05/02/2018,58,-10.07,-78.15,75.99,4.16
8,luanda,0,AO,05/02/2018,85,-8.83,13.24,82.65,9.64
9,half moon bay,20,US,05/02/2018,35,37.46,-122.43,73.4,5.82
10,pevek,8,RU,05/02/2018,92,69.7,170.27,18.84,7.63
11,kapaa,92,US,05/02/2018,83,22.08,-159.32,73.65,6.17
12,nikolskoye,0,RU,05/02/2018,90,59.7,30.79,43.05,9.42
13,arraial do cabo,88,BR,05/02/2018,91,-22.97,-42.02,75.54,10.87
14,altoona,0,US,05/02/2018,32,40.52,-78.39,79.41,10.42
15,hithadhoo,80,MV,05/02/2018,100,-0.6,73.08,82.02,12.77
16,koson,0,UZ,05/02/2018,37,39.04,65.59,65.91,20.27
17,sinnamary,76,GF,05/02/2018,96,5.38,-52.96,79.77,11.43
18,tura,64,IN,05/02/2018,98,25.52,90.21,65.91,3.15
19,thompson,64,CA,05/02/2018,51,55.74,-97.86,50.61,6.96
20,upernavik,0,GL,05/02/2018,100,72.79,-56.15,12.54,12.55
21,cape town,48,ZA,05/02/2018,98,-33.93,18.42,61.05,14.45
22,basco,56,US,05/02/2018,85,40.33,-91.2,75.72,10.76
23,severo-kurilsk,36,RU,05/02/2018,100,50.68,156.12,31.98,7.4
24,barrow,92,AR,05/02/2018,82,-38.31,-60.23,62.31,12.21
25,kruisfontein,100,ZA,05/02/2018,94,-34.0,24.73,65.37,25.52
26,broome,0,GB,05/02/2018,92,52.47,1.45,43.86,9.42
27,pathalgaon,20,IN,05/02/2018,87,22.56,83.46,64.92,1.92
28,te anau,80,NZ,05/02/2018,96,-45.41,167.72,40.53,2.71
29,vaini,20,IN,05/02/2018,93,15.34,74.49,69.51,2.71
30,fuerte olimpo,0,BR,05/02/2018,44,-21.04,-57.87,88.59,7.96
31,hermanus,88,ZA,05/02/2018,97,-34.42,19.24,57.81,3.6
32,iqaluit,36,CA,05/02/2018,87,63.75,-68.52,13.17,15.79
33,east london,48,ZA,05/02/2018,100,-33.02,27.91,71.85,21.5
34,neiafu,92,TO,05/02/2018,100,-18.65,-173.98,73.38,15.12
35,puerto ayora,8,EC,05/02/2018,90,-0.74,-90.35,80.04,9.98
36,hudiksvall,44,SE,05/02/2018,74,61.73,17.1,45.57,8.75
37,matara,24,PE,05/02/2018,45,-13.74,-72.9,59.61,2.59
38,mahebourg,56,MU,05/02/2018,77,-20.41,57.7,75.54,12.77
39,sao felix do xingu,48,BR,05/02/2018,89,-6.64,-51.99,76.62,1.7
40,avarua,32,CK,05/02/2018,100,-21.21,-159.78,79.05,12.77
41,hobart,0,AU,05/02/2018,87,-42.88,147.33,51.51,5.17
42,qingdao,64,CN,05/02/2018,91,36.09,120.35,52.41,11.88
43,fort saint james,8,CA,05/02/2018,45,54.43,-124.25,55.29,9.64
44,labuhan,8,ID,05/02/2018,97,-2.54,115.51,69.87,1.7
45,akureyri,12,IS,05/02/2018,88,65.68,-18.09,20.82,1.92
46,mataura,76,NZ,05/02/2018,92,-46.19,168.86,45.48,4.16
47,kodiak,68,US,05/02/2018,100,39.95,-94.76,77.61,6.29
48,caravelas,0,BR,05/02/2018,99,-17.73,-39.27,79.41,11.54
49,jamestown,88,AU,05/02/2018,92,-33.21,138.6,56.01,4.72
50,kang,0,BW,05/02/2018,47,-23.67,22.79,60.42,7.96
51,namatanai,0,PG,05/02/2018,100,-3.66,152.44,82.11,7.52
52,kahului,75,US,05/02/2018,78,20.89,-156.47,80.6,19.46
53,sassandra,24,CI,05/02/2018,95,4.95,-6.09,82.92,12.33
54,castro,80,CL,05/02/2018,96,-42.48,-73.76,51.51,12.21
55,nivala,92,FI,05/02/2018,100,63.93,24.96,37.83,5.17
56,dikson,68,RU,05/02/2018,92,73.51,80.55,17.76,24.07
57,chokurdakh,88,RU,05/02/2018,100,70.62,147.9,34.41,14.79
58,dubai,64,AE,05/02/2018,86,25.27,55.3,82.02,12.21
59,rikitea,68,PF,05/02/2018,100,-23.12,-134.97,74.37,11.1
60,chuy,92,UY,05/02/2018,81,-33.69,-53.46,69.15,15.46
61,longyearbyen,56,NO,05/02/2018,100,78.22,15.63,23.61,1.92
62,viedma,76,AR,05/02/2018,76,-40.81,-62.99,57.81,12.44
63,bredasdorp,88,ZA,05/02/2018,91,-34.53,20.04,63.57,12.55
64,rawson,0,AR,05/02/2018,33,-43.3,-65.11,64.92,8.97
65,bowen,88,AU,05/02/2018,100,-20.01,148.25,76.44,14.79
66,sri aman,48,MY,05/02/2018,100,1.24,111.46,73.38,2.15
67,bonfim,0,BR,05/02/2018,45,-20.33,-44.24,72.39,7.52
68,goderich,88,CA,05/02/2018,65,43.74,-81.71,66.9,16.8
69,katsuura,56,JP,05/02/2018,92,33.93,134.5,61.86,11.99
70,geraldton,48,CA,05/02/2018,76,49.72,-86.95,40.35,3.38
71,gizo,0,IL,05/02/2018,59,31.8,34.94,70.68,5.5
72,ribeira grande,8,PT,05/02/2018,97,38.52,-28.7,63.12,9.86
73,cherskiy,24,RU,05/02/2018,76,68.75,161.3,25.59,6.06
74,yamada,92,JP,05/02/2018,95,36.58,137.08,63.39,8.3
75,pontianak,80,ID,05/02/2018,100,-0.02,109.34,76.62,4.83
76,aligudarz,0,IR,05/02/2018,91,33.4,49.69,38.37,2.48
77,atocha,76,EC,05/02/2018,79,-1.22,-78.6,53.94,2.37
78,lebu,76,ET,05/02/2018,90,8.96,38.73,49.71,2.82
79,grand-santi,92,GF,05/02/2018,96,4.27,-54.38,75.27,2.59
80,saint-augustin,92,FR,05/02/2018,96,44.83,-0.61,51.24,6.85
81,lompoc,0,US,05/02/2018,81,34.64,-120.46,57.81,8.97
82,barcelos,36,PT,05/02/2018,95,41.53,-8.62,50.79,2.15
83,santa vitoria do palmar,92,BR,05/02/2018,81,-33.52,-53.37,69.15,15.46
84,northam,12,GB,05/02/2018,95,51.04,-4.21,45.66,10.2
85,luchegorsk,88,RU,05/02/2018,52,46.44,134.3,45.84,10.2
86,hilo,90,US,05/02/2018,88,19.71,-155.08,77.0,5.82
87,safford,0,US,05/02/2018,19,32.83,-109.71,65.19,10.65
88,khatanga,56,RU,05/02/2018,82,71.98,102.47,7.86,8.63
89,biltine,0,TD,05/02/2018,40,14.53,20.93,76.17,4.94
90,hofn,0,IS,05/02/2018,99,64.25,-15.21,39.27,13.78
91,salinopolis,80,BR,05/02/2018,100,-0.61,-47.36,80.31,10.65
92,panguna,0,PG,05/02/2018,92,-6.32,155.48,74.82,3.49
93,noumea,76,NC,05/02/2018,86,-22.28,166.46,71.94,9.75
94,egvekinot,36,RU,05/02/2018,95,66.32,-179.17,24.15,3.38
95,yellowknife,56,CA,05/02/2018,64,62.45,-114.38,47.91,8.63
96,lumberton,0,US,05/02/2018,62,30.27,-94.2,85.08,16.24
97,tuktoyaktuk,0,CA,05/02/2018,100,69.44,-133.03,12.81,7.18
98,klaksvik,64,FO,05/02/2018,100,62.23,-6.59,42.69,15.9
99,new norfolk,8,AU,05/02/2018,90,-42.78,147.06,46.47,5.39
100,areia branca,92,BR,05/02/2018,74,-10.76,-37.31,79.95,11.21
101,walvis bay,0,NA,05/02/2018,99,-22.95,14.51,65.46,9.75
102,ancud,92,CL,05/02/2018,93,-41.87,-73.83,53.04,11.65
103,bambous virieux,56,MU,05/02/2018,77,-20.34,57.76,75.54,12.77
104,dolores,88,AR,05/02/2018,85,-36.31,-57.68,64.47,13.0
105,pierre,24,US,05/02/2018,70,44.37,-100.35,67.26,5.39
106,grand gaube,20,MU,05/02/2018,100,-20.01,57.66,78.15,20.04
107,callaway,12,US,05/02/2018,78,46.98,-95.91,59.79,10.98
108,itaituba,32,BR,05/02/2018,77,-4.26,-55.99,84.45,1.81
109,svetlogorsk,56,RU,05/02/2018,96,53.14,59.15,42.24,7.18
110,cockburn town,80,TC,05/02/2018,100,21.46,-71.14,77.34,13.44
111,vanavara,0,RU,05/02/2018,67,60.35,102.28,29.1,7.74
112,port lincoln,92,AU,05/02/2018,100,-34.72,135.86,59.52,17.58
113,port alfred,0,ZA,05/02/2018,87,-33.59,26.89,68.43,16.02
114,porto velho,0,BR,05/02/2018,82,-8.75,-63.87,84.18,1.81
115,mlonggo,20,ID,05/02/2018,100,-6.53,110.7,76.89,4.05
116,norman wells,76,CA,05/02/2018,94,65.28,-126.83,35.94,4.05
117,nokha,0,IN,05/02/2018,37,27.56,73.47,79.77,9.42
118,kabalo,8,CD,05/02/2018,71,-6.05,26.92,75.81,8.19
119,mountain home,0,US,05/02/2018,37,43.13,-115.69,64.11,10.2
120,agadir,32,MA,05/02/2018,70,30.42,-9.58,58.17,6.96
121,airai,64,TL,05/02/2018,95,-8.93,125.41,68.25,2.04
122,sapulpa,0,US,05/02/2018,57,36.0,-96.11,85.71,22.28
123,carahue,100,CL,05/02/2018,100,-38.71,-73.16,54.75,12.77
124,whithorn,68,JM,05/02/2018,100,18.26,-78.04,79.77,2.93
125,maxixe,0,MZ,05/02/2018,100,-23.86,35.35,67.89,3.94
126,bambanglipuro,0,ID,05/02/2018,96,-7.95,110.28,66.36,1.92
127,sun city west,75,US,05/02/2018,24,33.66,-112.34,71.6,11.41
128,saskylakh,36,RU,05/02/2018,80,71.97,114.09,6.33,9.31
129,lagoa,8,PT,05/02/2018,78,37.14,-8.45,53.85,5.17
130,beaupre,88,CA,05/02/2018,93,47.04,-70.9,62.04,9.08
131,tecoanapa,8,MX,05/02/2018,46,16.99,-99.26,92.1,7.74
132,victoria,80,BN,05/02/2018,100,5.28,115.24,82.11,4.16
133,sao joao da barra,12,BR,05/02/2018,100,-21.64,-41.05,76.8,14.12
134,miraflores,80,CO,05/02/2018,71,5.2,-73.14,61.05,2.48
135,taoudenni,0,ML,05/02/2018,15,22.68,-3.98,72.21,8.97
136,dzaoudzi,0,YT,05/02/2018,99,-12.79,45.27,82.2,2.04
137,rio cuarto,32,AR,05/02/2018,85,-33.13,-64.35,68.34,3.94
138,baykit,0,RU,05/02/2018,73,61.68,96.39,14.79,2.71
139,fortuna,32,ES,05/02/2018,32,38.18,-1.13,58.53,10.98
140,leningradskiy,88,RU,05/02/2018,100,69.38,178.42,13.44,4.83
141,filimonovo,0,RU,05/02/2018,54,54.21,39.6,65.28,7.63
142,lukovetskiy,88,RU,05/02/2018,66,64.29,41.92,36.21,10.76
143,bartlesville,0,US,05/02/2018,53,36.75,-95.98,86.34,21.27
144,lake city,88,US,05/02/2018,65,38.03,-107.32,31.44,4.27
145,albany,8,US,05/02/2018,33,42.65,-73.75,79.77,7.52
146,calama,8,CL,05/02/2018,49,-22.46,-68.93,65.82,3.71
147,troitsko-pechorsk,32,RU,05/02/2018,82,62.71,56.19,23.88,2.37
148,nabire,64,ID,05/02/2018,95,-3.36,135.5,69.06,1.92
149,altus,8,US,05/02/2018,19,34.64,-99.33,95.52,23.06
150,tamandare,12,BR,05/02/2018,75,-8.28,-70.75,84.27,2.48
151,nemuro,92,JP,05/02/2018,96,43.32,145.57,39.99,20.49
152,port elizabeth,0,US,05/02/2018,28,39.31,-74.98,86.07,17.81
153,madison,56,US,05/02/2018,84,43.07,-89.38,71.85,8.63
154,georgetown,92,GY,05/02/2018,88,6.8,-58.16,79.05,7.18
155,nanortalik,8,GL,05/02/2018,100,60.14,-45.24,25.14,30.33
156,gravdal,88,NO,05/02/2018,90,59.79,5.78,41.07,10.65
157,zheleznogorsk,20,RU,05/02/2018,78,56.25,93.53,30.27,5.61
158,qaanaaq,0,GL,05/02/2018,83,77.48,-69.36,4.71,1.92
159,vila franca do campo,0,PT,05/02/2018,100,37.72,-25.43,60.42,13.22
160,vila velha,80,BR,05/02/2018,100,-3.71,-38.6,81.3,10.54
161,margate,0,AU,05/02/2018,88,-43.03,147.26,53.58,6.62
162,lata,92,IN,05/02/2018,100,30.78,78.62,48.09,1.7
163,bonthe,48,SL,05/02/2018,89,7.53,-12.5,81.03,4.05
164,urubicha,68,BO,05/02/2018,61,-15.63,-63.08,86.25,2.71
165,kavaratti,80,IN,05/02/2018,100,10.57,72.64,84.45,6.4
166,trairi,44,BR,05/02/2018,100,-3.28,-39.27,80.67,13.56
167,chatra,8,IN,05/02/2018,88,24.21,84.87,71.4,8.75
168,izhma,68,RU,05/02/2018,79,65.01,53.91,26.04,2.48
169,arinos,0,BR,05/02/2018,48,-15.92,-46.11,79.05,4.38
170,saint-louis,76,CH,05/02/2018,75,47.59,7.56,51.15,3.04
171,tabou,24,CI,05/02/2018,99,4.42,-7.36,83.28,10.2
172,salalah,0,OM,05/02/2018,100,17.01,54.1,80.85,6.06
173,sim,64,BR,05/02/2018,75,-12.25,-38.93,77.79,10.87
174,saint george,8,GR,05/02/2018,68,39.45,22.34,62.04,4.16
175,port pirie,92,AU,05/02/2018,100,-33.18,138.01,62.04,8.63
176,ostrovnoy,0,RU,05/02/2018,84,68.05,39.51,20.82,8.75
177,naze,24,NG,05/02/2018,94,5.43,7.07,75.9,4.72
178,vostok,88,RU,05/02/2018,63,46.45,135.83,40.17,10.42
179,bilibino,0,RU,05/02/2018,78,68.06,166.44,27.84,3.15
180,sao filipe,0,CV,05/02/2018,95,14.9,-24.5,71.31,18.59
181,yulara,88,AU,05/02/2018,31,-25.24,130.99,63.57,6.85
182,palembang,64,ID,05/02/2018,93,-2.99,104.76,75.0,2.71
183,byron bay,64,AU,05/02/2018,100,-28.65,153.62,67.17,2.37
184,jinchang,0,CN,05/02/2018,63,38.52,102.19,36.84,2.04
185,zyryanskoye,32,RU,05/02/2018,78,56.83,86.62,24.87,2.82
186,tudora,0,UA,05/02/2018,73,46.43,30.04,56.1,2.59
187,keetmanshoop,0,NA,05/02/2018,28,-26.57,18.15,65.19,7.18
188,provideniya,64,RU,05/02/2018,100,64.42,-173.23,27.75,2.93
189,mar del plata,48,AR,05/02/2018,56,-46.43,-67.52,56.46,14.12
190,butaritari,76,KI,05/02/2018,100,3.07,172.79,83.01,9.75
191,lorengau,88,PG,05/02/2018,100,-2.02,147.27,82.74,6.17
192,constitucion,0,MX,05/02/2018,18,23.99,-104.67,84.9,14.67
193,jalu,92,LY,05/02/2018,19,29.03,21.55,86.79,7.96
194,kuminskiy,56,RU,05/02/2018,78,58.67,66.57,28.38,2.37
195,nieves,76,MX,05/02/2018,18,24.0,-103.02,83.64,8.52
196,awbari,0,LY,05/02/2018,18,26.59,12.77,71.85,11.21
197,vardo,0,US,05/02/2018,28,39.62,-77.74,84.36,9.08
198,maniitsoq,8,GL,05/02/2018,90,65.42,-52.9,16.41,4.5
199,thinadhoo,92,MV,05/02/2018,96,0.53,72.93,85.98,15.23
200,caruray,76,PH,05/02/2018,100,10.31,119.01,82.29,4.61
201,carnarvon,12,ZA,05/02/2018,51,-30.97,22.13,48.45,10.76
202,takapau,0,NZ,05/02/2018,80,-40.02,176.35,46.02,3.71
203,moerai,0,PF,05/02/2018,100,-22.43,-151.33,76.98,7.96
204,shipunovo,92,RU,05/02/2018,96,52.22,82.26,38.82,17.58
205,faanui,44,PF,05/02/2018,100,-16.48,-151.75,82.2,14.23
206,hue,8,VN,05/02/2018,93,16.47,107.58,68.88,2.59
207,newton,92,US,05/02/2018,100,41.7,-93.05,67.17,6.29
208,san quintin,8,PH,05/02/2018,87,17.54,120.52,73.74,3.49
209,gawler,92,AU,05/02/2018,100,-34.6,138.75,60.15,14.12
210,broken hill,24,AU,05/02/2018,39,-31.97,141.45,59.25,14.45
211,saint john,8,CA,05/02/2018,79,45.28,-66.06,48.81,16.8
212,povenets,92,RU,05/02/2018,92,62.85,34.83,38.55,8.19
213,plettenberg bay,88,ZA,05/02/2018,93,-34.05,23.37,62.67,23.85
214,nizhnyaya tavda,0,RU,05/02/2018,75,57.67,66.17,29.37,3.38
215,magna,76,FR,05/02/2018,48,43.5,0.96,57.36,9.75
216,grindavik,56,IS,05/02/2018,100,63.84,-22.43,39.81,14.23
217,portland,0,US,05/02/2018,67,45.52,-122.67,65.1,3.15
218,mauldin,0,US,05/02/2018,32,34.78,-82.31,82.65,9.31
219,bartica,100,GY,05/02/2018,97,6.41,-58.62,74.91,3.04
220,takoradi,0,GH,05/02/2018,97,4.89,-1.75,82.02,9.75
221,simao,92,CN,05/02/2018,100,22.76,100.79,60.69,2.37
222,ballina,92,IE,05/02/2018,83,54.11,-9.15,46.74,12.21
223,kasongo-lunda,24,CD,05/02/2018,59,-6.48,16.82,78.96,2.93
224,mpika,12,ZM,05/02/2018,94,-11.84,31.4,61.95,6.96
225,port-gentil,92,GA,05/02/2018,100,-0.72,8.78,79.95,6.62
226,olavarria,92,AR,05/02/2018,98,-36.89,-60.32,60.69,7.96
227,ahipara,0,NZ,05/02/2018,91,-35.17,173.16,58.89,7.96
228,athabasca,56,CA,05/02/2018,49,54.72,-113.29,60.87,16.02
229,yelizavetinskoye,0,RU,05/02/2018,69,45.01,43.35,58.62,6.96
230,ahuimanu,90,US,05/02/2018,94,21.44,-157.84,69.8,3.36
231,san patricio,0,PY,05/02/2018,46,-26.98,-56.83,85.17,5.28
232,codrington,44,AU,05/02/2018,92,-28.95,153.24,52.14,2.37
233,virginia beach,0,US,05/02/2018,30,36.85,-75.98,84.72,12.44
234,san cristobal,48,EC,05/02/2018,83,-0.39,-78.55,56.01,0.47
235,tuatapere,48,NZ,05/02/2018,100,-46.13,167.69,48.63,9.31
236,mont-de-marsan,92,FR,05/02/2018,88,43.89,-0.5,51.42,4.94
237,ponta do sol,0,BR,05/02/2018,40,-20.63,-46.0,72.03,6.73
238,presidente medici,12,BR,05/02/2018,69,-11.18,-61.9,86.25,2.26
239,lazaro cardenas,92,MX,05/02/2018,19,28.39,-105.62,84.27,24.85
240,isangel,76,VU,05/02/2018,100,-19.55,169.27,76.17,11.77
241,onega,92,RU,05/02/2018,91,63.91,38.09,34.95,15.23
242,quelimane,64,MZ,05/02/2018,94,-17.88,36.89,73.92,3.04
243,puerto escondido,12,MX,05/02/2018,100,15.86,-97.07,85.44,7.4
244,sabha,0,LY,05/02/2018,18,27.03,14.43,75.27,12.77
245,altamira,92,BR,05/02/2018,95,-3.2,-52.21,76.89,2.93
246,dunedin,88,NZ,05/02/2018,87,-45.87,170.5,38.28,2.71
247,gazanjyk,12,TM,05/02/2018,25,39.24,55.52,65.46,14.12
248,am timan,0,TD,05/02/2018,39,11.04,20.28,80.22,6.4
249,homer,0,US,05/02/2018,90,59.64,-151.54,38.46,7.96
250,harper,24,US,05/02/2018,54,30.3,-99.24,87.06,19.15
251,waingapu,12,ID,05/02/2018,91,-9.65,120.26,70.23,3.71
252,amahai,48,ID,05/02/2018,100,-3.31,129.0,80.67,5.73
253,saint-pierre,44,FR,05/02/2018,68,48.95,4.24,50.43,7.4
254,papenburg,44,DE,05/02/2018,57,53.08,7.39,53.04,8.97
255,bethel,20,US,05/02/2018,78,60.79,-161.76,37.29,5.73
256,sisimiut,68,GL,05/02/2018,85,66.94,-53.67,13.17,2.71
257,hasaki,92,JP,05/02/2018,89,35.73,140.83,65.91,35.37
258,komsomolskiy,12,RU,05/02/2018,63,67.55,63.78,-3.31,2.93
259,nichinan,32,JP,05/02/2018,100,31.65,131.31,58.89,15.01
260,divnogorsk,76,RU,05/02/2018,79,55.96,92.38,30.36,4.38
261,la baule-escoublac,0,FR,05/02/2018,70,47.28,-2.4,49.17,14.79
262,cordoba,80,CO,05/02/2018,59,5.59,-73.79,64.11,0.69
263,saint-philippe,68,CA,05/02/2018,60,45.36,-73.48,73.29,17.92
264,avera,0,US,05/02/2018,33,33.19,-82.53,83.82,4.27
265,roswell,0,US,05/02/2018,24,33.39,-104.52,77.79,22.28
266,leh,88,IN,05/02/2018,88,34.16,77.58,11.37,0.58
267,honiara,64,SB,05/02/2018,100,-9.43,159.96,75.81,1.7
268,itoman,68,JP,05/02/2018,100,26.12,127.67,72.84,21.05
269,paragominas,92,BR,05/02/2018,100,-3.0,-47.35,75.54,3.71
270,clyde river,36,CA,05/02/2018,90,70.47,-68.59,12.45,2.59
271,mastic beach,0,US,05/02/2018,64,40.77,-72.85,60.15,18.81
272,dingli,68,MT,05/02/2018,100,35.86,14.38,61.32,31.56
273,silver city,92,US,05/02/2018,25,32.77,-108.28,54.75,12.66
274,mackay,56,CA,05/02/2018,31,53.65,-115.58,62.85,11.65
275,roseburg,0,US,05/02/2018,49,43.22,-123.34,66.54,2.93
276,littleton,90,US,05/02/2018,93,39.61,-105.02,50.0,4.83
